time,type,x,y,z,vx,vy,vz,ax,ay,az,yaw,w1,w2,w3
0.0,cmdFullState,-0.8312746167786011,-2.9735913646584335,3.0023534192142727e-05,1.4098080052005666e-05,1.183512796596789e-06,0.002122162857539599,0.0006643320748417342,5.5770329412419505e-05,0.10000166767914195,0.08375213353786341,-0.0001686327125972619,0.0001304917286360723,4.52487072101862e-07
0.03333333333333333,cmdFullState,-0.8312734379490695,-2.973591265690783,0.0002074719367126574,4.6275051075878315e-05,3.885418706692488e-06,0.006965723377150188,0.001144951913275904,9.61820627656039e-05,0.17234070999478926,0.08376709401472526,0.0003893138512466431,0.00026738294388211004,1.0259205055143416e-05
0.06666666666666667,cmdFullState,-0.8312703476430947,-2.9735910060315014,0.0006726048640591901,0.00010246578981138948,8.618372225131151e-06,0.015419934467523396,0.001714745789642975,0.00014498524998748168,0.25781382073301434,0.08391224678795112,0.00031400850818863864,2.6586655780646456e-05,7.352658875390906e-05
0.1,cmdFullState,-0.8312643533135242,-2.973590499976592,0.0015740602685476726,0.00018277099284100785,1.550452324464625e-05,0.027460311590654637,0.0023154790008929464,0.00020202965771688703,0.345920071316189,0.08462771705310441,0.00011209425639149416,-0.0003667617406554632,0.00030527833188740685
0.13333333333333333,cmdFullState,-0.8312543777246014,-2.9735896428216946,0.003068924887427425,0.0002898119763173394,2.52929933555275e-05,0.04328729760421498,0.002989666635824209,0.0002878227232975538,0.4367131055508472,0.08705323029996553,-5.400514328777611e-05,-0.000618557437747064,0.0009293490784698047
0.16666666666666666,cmdFullState,-0.8312391752685601,-2.973588270737674,0.005322916062307776,0.0004293960557602215,4.025879649464119e-05,0.06310691813467259,0.0038539795964898163,0.0004583692744664227,0.530296031861189,0.0934835135384402,-0.00014117648930588297,-0.000770215572065685,0.002298975600387809
0.2,cmdFullState,-0.8312171722866242,-2.9735860606313564,0.008501623413895966,0.0006086235753009977,6.569708176011274e-05,0.08621565513584767,0.004703618201444289,0.0007843271058474249,0.5623837893873662,0.10752736101371109,2.924365467157286e-05,6.72473014444417e-05,0.004793330802544138
0.23333333333333334,cmdFullState,-0.8311866283364214,-2.9735823857619645,0.012686097078837763,0.0008342698092823572,0.00011131315057996244,0.11016684696408001,0.006087961218444696,0.0014340053266363264,0.5690152613712447,0.13264242260150533,5.683591585773619e-05,0.00014172217211725894,0.008413260245757018
0.26666666666666666,cmdFullState,-0.8311448208234075,-2.973576017007817,0.017907687510901875,0.0011451082335709917,0.00019598792556312525,0.13485439166646623,0.008620450487944518,0.0026330622278750142,0.5760165617566163,0.16950989237231354,9.693611926396136e-05,0.00026060982384947776,0.012739289246757782
0.3,cmdFullState,-0.8310868815174963,-2.9735647007123993,0.024199250548475548,0.0016030830718681227,0.00034925680054355884,0.1603297394936989,0.012869717531615352,0.004652775635818651,0.5833898546145102,0.2145136178621593,0.00014914008473906675,0.0004351231041776189,0.01698411771001587
0.3333333333333333,cmdFullState,-0.8310047166229902,-2.9735446454259264,0.031595915267702966,0.002298483596297117,0.0006141600410383855,0.18664674629002342,0.019543527940719545,0.007830167466688444,0.5910954986671939,0.2611023723016329,0.000209641109246395,0.0006778982476235598,0.0203752603078098
0.36666666666666664,cmdFullState,-0.8308856515499499,-2.9735098770422907,0.04013522908766793,0.0033567695878875406,0.0010504561468396396,0.21386202403438678,0.02949754877086333,0.012571642147021085,0.5990631843094325,0.303282598572604,0.00027118907154176396,0.0010008916849610968,0.022532267546241446
0.4,cmdFullState,-0.8307124009273342,-2.9734520233260975,0.04977740267601588,0.004893170030531176,0.0017182290403616434,0.2399512334064986,0.04303751369585007,0.019030947828459495,0.6023918863717177,0.3376975651106331,0.0003248550526475005,0.0013845639924247115,0.023320184300244684
0.43333333333333335,cmdFullState,-0.8304609556449147,-2.9733595705446447,0.06050468085562335,0.007081634383050633,0.002698494364348741,0.26555023702283687,0.06088815201426724,0.027540979591366928,0.6038194289096359,0.36406883544227264,0.0003617811364266431,0.0018315008850675427,0.02314361076189801
0.4666666666666667,cmdFullState,-0.8300990508515728,-2.9732171380778705,0.07231961080391346,0.010134772594773996,0.004090673679455145,0.2912002098800149,0.08390156822834874,0.03849628435014064,0.6047652067774795,0.3836296793477174,0.0003836096307629702,0.0023440886674031807,0.022383286983031096
0.5,cmdFullState,-0.8295851255369173,-2.9730049427985263,0.08522386940650138,0.01428659547652838,0.006005427683444939,0.31687696688626443,0.11277264634320697,0.05221714976329312,0.6050504102132348,0.39792887918529707,0.00039344346301793285,0.002916673355810293,0.021275385735939782
0.5333333333333333,cmdFullState,-0.8288670745460562,-2.972698223989694,0.09921794118722607,0.019799582274883862,0.00856644682004669,0.3425483935880027,0.14814371622752895,0.0689951462754241,0.604480255672669,0.40833908406881003,0.0003841420828482903,0.0035430319838080657,0.019967609537120894
0.5666666666666667,cmdFullState,-0.8278810953900801,-2.972266720052346,0.11430076748421755,0.02696190042162921,0.01190895882601261,0.3681737761998157,0.1905785436925765,0.08908018487091367,0.6028443891967015,0.4159267501725321,0.00036232906525244244,0.004214291479203621,0.018540892493766545
0.6,cmdFullState,-0.8265506766495785,-2.971674220287855,0.13046936760325675,0.036083510468118724,0.016177682118967633,0.39370315230958325,0.24053587408407048,0.11266738012071507,0.5999174626515079,0.42147263544856783,0.0003330224411924582,0.004919606456098267,0.017031406014176725
