Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1678571169.0646005,0,1678571169,64068330,world,-1.2163522243499756,-3.033989191055298,0.03502344340085983,0.01107016485184431,0.009686394594609737,-0.012453935109078884,0.9998142719268799
1678571169.2415807,1,1678571169,241371019,world,-1.2163314819335938,-3.0340723991394043,0.03501439094543457,0.01107016485184431,0.009686394594609737,-0.012453935109078884,0.9998142719268799
1678571169.6485384,2,1678571169,648361660,world,-1.2164064645767212,-3.034882068634033,0.03501136228442192,0.012453935109078884,0.00830262340605259,-0.013837706297636032,0.999792218208313
1678571169.7476463,3,1678571169,747463850,world,-1.2165392637252808,-3.0343074798583984,0.03501854091882706,0.012453935109078884,0.00830262340605259,-0.013837706297636032,0.999792218208313
1678571170.1444945,4,1678571170,144337181,world,-1.2163002490997314,-3.0341622829437256,0.03498697653412819,0.012453935109078884,0.00830262340605259,-0.015221476554870605,0.9997721314430237
1678571170.9486344,5,1678571170,948489520,world,-1.2163102626800537,-3.034303903579712,0.034991249442100525,0.012453935109078884,0.00830262340605259,-0.015221476554870605,0.9997721314430237
1678571171.4441931,6,1678571171,444041173,world,-1.2163392305374146,-3.0345985889434814,0.034444235265254974,0.012453935109078884,0.00830262340605259,-0.015221476554870605,0.9997721314430237
1678571171.6424067,7,1678571171,642220304,world,-1.216704249382019,-3.034595489501953,0.0349997878074646,0.012453935109078884,0.00830262340605259,-0.015221476554870605,0.9997721314430237
1678571171.8406625,8,1678571171,840440964,world,-1.2162649631500244,-3.034219741821289,0.035000029951334,0.012453935109078884,0.00830262340605259,-0.015221476554870605,0.9997721314430237
1678571172.0391233,9,1678571172,38891636,world,-1.2162959575653076,-3.0343167781829834,0.0350053571164608,0.012453935109078884,0.00830262340605259,-0.015221476554870605,0.9997721314430237
1678571173.0440133,10,1678571173,43819352,world,-1.2163795232772827,-3.0340065956115723,0.03499829024076462,0.012453935109078884,0.009686394594609737,-0.015221476554870605,0.9997596740722656
1678571173.6383607,11,1678571173,638119421,world,-1.2165844440460205,-3.0345427989959717,0.0350327230989933,0.012453935109078884,0.00830262340605259,-0.015221476554870605,0.9997721314430237
1678571174.3434086,12,1678571174,343199069,world,-1.216469168663025,-3.034745454788208,0.03440643474459648,0.012453935109078884,0.00830262340605259,-0.015221476554870605,0.9997721314430237
1678571174.640651,13,1678571174,640421742,world,-1.2167667150497437,-3.0350704193115234,0.03407692909240723,0.012453935109078884,0.009686394594609737,-0.015221476554870605,0.9997596740722656
1678571175.147766,14,1678571175,147634277,world,-1.216620922088623,-3.034454345703125,0.03501187637448311,0.012453935109078884,0.00830262340605259,-0.015221476554870605,0.9997721314430237
1678571175.2364798,15,1678571175,236316676,world,-1.2166481018066406,-3.034959316253662,0.03500576689839363,0.012453935109078884,0.00830262340605259,-0.015221476554870605,0.9997721314430237
1678571175.436312,16,1678571175,436117227,world,-1.216794490814209,-3.0350663661956787,0.035021115094423294,0.012453935109078884,0.00830262340605259,-0.015221476554870605,0.9997721314430237
1678571175.5384567,17,1678571175,538245028,world,-1.216715693473816,-3.034888744354248,0.034974105656147,0.012453935109078884,0.00830262340605259,-0.015221476554870605,0.9997721314430237
1678571175.8428044,18,1678571175,842351378,world,-1.217159390449524,-3.03348970413208,0.06153711676597595,-0.0027675412129610777,-0.006918853148818016,-0.005535082425922155,0.9999569058418274
1678571175.9451797,19,1678571175,944702043,world,-1.2202593088150024,-3.0304057598114014,0.09418021142482758,-0.0027675412129610777,0.0027675412129610777,-0.0013837706064805388,0.9999913573265076
1678571176.2395775,20,1678571176,239067204,world,-1.2290254831314087,-3.017418146133423,0.21717403829097748,0.00830262340605259,0.005535082425922155,0.0013837706064805388,0.9999492168426514
1678571176.738975,21,1678571176,738438524,world,-1.2201924324035645,-3.0136992931365967,0.5958313345909119,0.004151311703026295,-0.006918853148818016,0.00830262340605259,0.9999329447746277
1678571176.9536555,22,1678571176,953200318,world,-1.2188857793807983,-3.017737865447998,0.7018075585365295,0.0013837706064805388,-0.004151311703026295,0.009686394594609737,0.9999434947967529
1678571177.0449402,23,1678571177,44523939,world,-1.2192639112472534,-3.0196902751922607,0.735768735408783,0.0,-0.0013837706064805388,0.009686394594609737,0.9999521374702454
1678571177.1352172,24,1678571177,134811697,world,-1.2202867269515991,-3.0216283798217773,0.7555760741233826,-0.0013837706064805388,-0.0,0.01107016485184431,0.9999377727508545
1678571177.2375333,25,1678571177,237051083,world,-1.2218657732009888,-3.0225276947021484,0.7638960480690002,-0.0013837706064805388,0.0,0.012453935109078884,0.9999215006828308
1678571177.3401194,26,1678571177,339643016,world,-1.2231825590133667,-3.023360013961792,0.7653849124908447,-0.0013837706064805388,0.0,0.012453935109078884,0.9999215006828308
1678571177.6276324,27,1678571177,627214041,world,-1.2262659072875977,-3.0184521675109863,0.7691822648048401,0.0,0.0027675412129610777,-0.00830262340605259,0.9999616742134094
1678571177.8280003,28,1678571177,827544026,world,-1.2238482236862183,-3.011806011199951,0.7711209654808044,-0.004151311703026295,0.03044295310974121,-0.2781378924846649,0.9600496292114258
1678571177.9343028,29,1678571177,933835748,world,-1.2166204452514648,-3.0079102516174316,0.7757341265678406,-0.012453935109078884,0.0774911567568779,-0.30304574966430664,0.9497385621070862
1678571178.1244392,30,1678571178,123986334,world,-1.1407485008239746,-3.002269744873047,0.8241921663284302,-0.04704819992184639,0.17297132313251495,-0.2781378924846649,0.9436666369438171
