Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,child_frame_id,transform.translation.x,transform.translation.y,transform.translation.z,transform.rotation.x,transform.rotation.y,transform.rotation.z,transform.rotation.w
1678557437.7360716,110,1678557437,702875922,world,vicon/cf_gate1/cf_gate1,0.4913353198415506,-2.47459522063119,0.9802753252947027,0.00019801582902396496,-0.00010804594916757165,-0.7070995932238074,0.7071139330960255
1678557437.7547674,111,1678557437,723508173,world,vicon/cf_gate1/cf_gate1,0.49138073364607343,-2.4746695318722467,0.9801880421118503,0.00021897548970490073,-0.00013026310334738041,-0.7071029045655212,0.707110611882089
1678557437.7744625,112,1678557437,743485518,world,vicon/cf_gate1/cf_gate1,0.4913717056399534,-2.4746281183030914,0.9802388595023299,0.0002141351732851532,-0.00010952437895483673,-0.7070941711994311,0.7071193500437728
1678557437.7953784,113,1678557437,763311392,world,vicon/cf_gate1/cf_gate1,0.49138272086061274,-2.4746000313812657,0.9802509140200405,0.00021567840081543682,-0.00011347331787933226,-0.7070943918465435,0.707119128312762
1678557437.8148587,114,1678557437,783625276,world,vicon/cf_gate1/cf_gate1,0.49136521872867917,-2.4746368475283473,0.9802171298035015,0.00022822733838437443,-0.00013571199305390617,-0.7070969606016262,0.7071165517808782
1678557437.835176,115,1678557437,803036858,world,vicon/cf_gate1/cf_gate1,0.4913491725696973,-2.474633623704436,0.9802299933201912,0.00022704859096800875,-0.00012163347177303996,-0.7070888955599622,0.7071246194483889
1678557437.8545978,116,1678557437,823325526,world,vicon/cf_gate1/cf_gate1,0.49138649971630455,-2.4746166546109998,0.9802243003641246,0.0002115784896660903,-0.000110298672196483,-0.7070826168612081,0.7071309044310337
1678557437.874801,117,1678557437,843486668,world,vicon/cf_gate1/cf_gate1,0.4913658541513491,-2.474608110113252,0.9802644738580735,0.00023120867586734787,-0.00012992746338190143,-0.7070792986497969,0.7071342129202304
1678557437.894957,118,1678557437,863482698,world,vicon/cf_gate1/cf_gate1,0.4912999964168086,-2.4746238469500477,0.9802106274791481,0.00024596569437195095,-0.00012493557341507753,-0.7070848316443293,0.7071286762326148
1678557437.9145617,119,1678557437,883523592,world,vicon/cf_gate1/cf_gate1,0.4913645472095052,-2.4746160730357243,0.980215903458988,0.00022780968585503437,-0.00011479594520712172,-0.7070764545915643,0.707137060467673
