time,x,y,z,r,p,y,command
2.86102294921875e-06,-1.0670387351503676,-3.0321463737440713,0.03436283796385476,-0.004614661298238695,0.024116693278944043,-0.05008734567347683,Command.TAKEOFF
0.09215450286865234,-1.0670840701087931,-3.0321287972852287,0.034361641923184146,-0.004812386325684746,0.022571533305274685,-0.04827999112924107,Command.NONE
0.12545442581176758,-1.066984990874409,-3.032156133881749,0.034433530180617754,-0.005544277497464028,0.02270914304545612,-0.047982905746906244,Command.NONE
0.15878915786743164,-1.0670333383023787,-3.032111239305719,0.03429794121233163,-0.004743160396263934,0.024532574901153667,-0.04952315867692855,Command.NONE
0.19216036796569824,-1.067003241714968,-3.032122985137682,0.0345020435416576,0.004000117761752127,0.026316943226190385,-0.04762153817031512,Command.NONE
0.2254936695098877,-1.0670084747453663,-3.0320868338687457,0.03451154294501458,0.003280383607071,0.02634709746055106,-0.04706411215422191,Command.NONE
0.2587912082672119,-1.0670100526073303,-3.0321049779332103,0.03451799008606473,0.003160497268820815,0.02586992262053634,-0.0475895120813588,Command.NONE
0.29215192794799805,-1.0670045033415732,-3.032077379717001,0.0345327984772273,0.00459136330504528,0.027603138356985232,-0.048604609144743446,Command.NONE
0.32544875144958496,-1.066998691281609,-3.031959866567461,0.03446838530197031,0.00330287502823622,0.025273809230724562,-0.04514366402459526,Command.NONE
0.3588130474090576,-1.0668121700861488,-3.0318685372227607,0.03449208855538838,-0.00580551272077098,0.02352860950220149,-0.043528122284601393,Command.NONE
0.39214158058166504,-1.0668837876434394,-3.031723633967502,0.03448048051782483,0.004792785901008826,0.02323622914279521,-0.03693926983965564,Command.NONE
0.42543935775756836,-1.0666219983121807,-3.031588678810544,0.03462736048914795,0.005117506841180417,0.02347494301996069,-0.03030346722061069,Command.NONE
0.4588184356689453,-1.0664235183221458,-3.0312995880226503,0.034380713168995235,0.006505062015634208,0.020711790937940882,-0.02007703134580133,Command.NONE
0.4921410083770752,-1.066261942136749,-3.031135535999362,0.03464139706553445,-0.0025212042651146594,0.025804769845139193,-0.014452270580633914,Command.NONE
0.5254819393157959,-1.066332830976494,-3.031204881069611,0.03460001803211052,0.0051191013875325556,0.02275902145857528,-0.010166099501636083,Command.NONE
0.5587902069091797,-1.0664534410307138,-3.0314664690761544,0.03461191968161134,0.0036963182081708704,0.021716004485130933,-0.009283435256702777,Command.NONE
0.5921542644500732,-1.0665889954770937,-3.0316976293582063,0.03460768640839427,0.00649695413910275,0.02221048034896054,-0.00947429408502115,Command.NONE
0.6254990100860596,-1.066713364435289,-3.0319727057538324,0.03449993991322121,0.005336995091447141,0.02196025327378932,-0.010160550270888885,Command.NONE
