Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1678569919.89307,18,1678569919,892526439,world,-1.2182059288024902,-3.0287208557128906,0.03295468911528587,0.00830262340605259,0.00830262340605259,-0.02214032970368862,0.9996859431266785
1678569919.9941397,19,1678569919,993649613,world,-1.2182724475860596,-3.0288116931915283,0.0329534150660038,0.00830262340605259,0.00830262340605259,-0.023524099960923195,0.9996542930603027
1678569920.0841603,20,1678569920,83661081,world,-1.218273401260376,-3.0285115242004395,0.0329434759914875,0.00830262340605259,0.00830262340605259,-0.023524099960923195,0.9996542930603027
1678569920.197564,21,1678569920,197020544,world,-1.21821129322052,-3.028676748275757,0.032954271882772446,0.00830262340605259,0.00830262340605259,-0.023524099960923195,0.9996542930603027
1678569920.2880242,22,1678569920,287524603,world,-1.2182151079177856,-3.0285818576812744,0.032946422696113586,0.00830262340605259,0.00830262340605259,-0.023524099960923195,0.9996542930603027
1678569920.3897111,23,1678569920,389238746,world,-1.2182116508483887,-3.0288546085357666,0.0329415462911129,0.00830262340605259,0.00830262340605259,-0.023524099960923195,0.9996542930603027
1678569920.588888,24,1678569920,588706271,world,-1.2184065580368042,-3.0285255908966064,0.032888006418943405,0.00830262340605259,0.00830262340605259,-0.023524099960923195,0.9996542930603027
1678569920.6882384,25,1678569920,688070397,world,-1.2181810140609741,-3.0288455486297607,0.03294814005494118,0.00830262340605259,0.00830262340605259,-0.023524099960923195,0.9996542930603027
1678569920.8869808,26,1678569920,886829689,world,-1.2182987928390503,-3.0289204120635986,0.0329221710562706,0.00830262340605259,0.00830262340605259,-0.023524099960923195,0.9996542930603027
1678569920.9861813,27,1678569920,985991026,world,-1.218517780303955,-3.0281548500061035,0.03288664668798447,0.00830262340605259,0.00830262340605259,-0.023524099960923195,0.9996542930603027
1678569921.1839423,28,1678569921,183777581,world,-1.2182780504226685,-3.028731346130371,0.03293658420443535,0.00830262340605259,0.00830262340605259,-0.023524099960923195,0.9996542930603027
1678569921.283393,29,1678569921,283212464,world,-1.2182950973510742,-3.0287258625030518,0.032947149127721786,0.00830262340605259,0.00830262340605259,-0.023524099960923195,0.9996542930603027
1678569921.483532,30,1678569921,483334211,world,-1.21833074092865,-3.029230833053589,0.032946325838565826,0.006918853148818016,0.00830262340605259,-0.023524099960923195,0.999664843082428
1678569921.5067675,31,1678569921,506580605,world,-1.21833074092865,-3.029230833053589,0.032946325838565826,0.006918853148818016,0.00830262340605259,-0.023524099960923195,0.999664843082428
1678569921.583356,32,1678569921,583156068,world,-1.2183321714401245,-3.0291473865509033,0.03294805809855461,0.006918853148818016,0.00830262340605259,-0.023524099960923195,0.999664843082428
1678569921.682522,33,1678569921,682179783,world,-1.2183306217193604,-3.0284535884857178,0.0329420305788517,0.006918853148818016,0.00830262340605259,-0.023524099960923195,0.999664843082428
1678569921.7840393,34,1678569921,783604016,world,-1.2185561656951904,-3.028886079788208,0.032895736396312714,0.006918853148818016,0.00830262340605259,-0.023524099960923195,0.999664843082428
1678569921.8850818,35,1678569921,884595689,world,-1.2182902097702026,-3.0286309719085693,0.032933179289102554,0.006918853148818016,0.00830262340605259,-0.023524099960923195,0.999664843082428
1678569921.9860759,36,1678569921,985624875,world,-1.2183008193969727,-3.028606414794922,0.03292498737573624,0.006918853148818016,0.00830262340605259,-0.023524099960923195,0.999664843082428
1678569922.0877004,37,1678569922,87250719,world,-1.2182365655899048,-3.028507709503174,0.03296355530619621,0.006918853148818016,0.00830262340605259,-0.023524099960923195,0.999664843082428
1678569922.1890929,38,1678569922,188623068,world,-1.2181867361068726,-3.028599977493286,0.032961949706077576,0.006918853148818016,0.00830262340605259,-0.023524099960923195,0.999664843082428
1678569922.3016107,39,1678569922,301073546,world,-1.2181955575942993,-3.029400110244751,0.032961856573820114,0.00830262340605259,0.00830262340605259,-0.024907870218157768,0.999620795249939
1678569922.392434,40,1678569922,391915267,world,-1.2181977033615112,-3.0287678241729736,0.03297256678342819,0.006918853148818016,0.00830262340605259,-0.024907870218157768,0.9996313452720642
1678569922.4830816,41,1678569922,482554295,world,-1.2181998491287231,-3.029426336288452,0.03297968581318855,0.006918853148818016,0.00830262340605259,-0.024907870218157768,0.9996313452720642
1678569922.697781,42,1678569922,697340722,world,-1.2181869745254517,-3.0285749435424805,0.03296397626399994,0.006918853148818016,0.00830262340605259,-0.024907870218157768,0.9996313452720642
1678569922.7886283,43,1678569922,788243420,world,-1.2181923389434814,-3.0287065505981445,0.03295374661684036,0.006918853148818016,0.00830262340605259,-0.024907870218157768,0.9996313452720642
1678569922.8900301,44,1678569922,889648497,world,-1.2181979417800903,-3.0286426544189453,0.03296162188053131,0.006918853148818016,0.00830262340605259,-0.024907870218157768,0.9996313452720642
1678569922.981365,45,1678569922,981175472,world,-1.2182317972183228,-3.0285732746124268,0.03295575827360153,0.006918853148818016,0.00830262340605259,-0.024907870218157768,0.9996313452720642
1678569923.0819788,46,1678569923,81676978,world,-1.2181878089904785,-3.028632879257202,0.03295397385954857,0.006918853148818016,0.00830262340605259,-0.024907870218157768,0.9996313452720642
1678569923.180918,47,1678569923,180680013,world,-1.2181919813156128,-3.028661012649536,0.03295925259590149,0.006918853148818016,0.00830262340605259,-0.024907870218157768,0.9996313452720642
1678569923.2902877,48,1678569923,290155680,world,-1.2181973457336426,-3.028960943222046,0.03296307846903801,0.00830262340605259,0.00830262340605259,-0.024907870218157768,0.999620795249939
